R,Team,G,P,W,D,L,GF,GA,GD,Pts.
1,West Germany,1/B,7,6,0,1,13,4,+9,12
2,Netherlands,3/A,7,5,1,1,15,3,+12,11
3,Poland,4/B,7,6,0,1,16,5,+11,12
4,Brazil,2/A,7,3,2,2,6,4,+2,8
5,Sweden,3/B,6,2,2,2,7,6,+1,6
6,East Germany,1/A,6,2,2,2,5,5,0,6
7,Yugoslavia,2/B,6,1,2,3,12,7,+5,4
8,Argentina,4/A,6,1,2,3,9,12,−3,4
9,Scotland,2,3,1,2,0,3,1,+2,4
10,Italy,4,3,1,1,1,5,4,+1,3
11,Chile,1,3,0,2,1,1,2,−1,2
12,Bulgaria,3,3,0,2,1,2,5,−3,2
13,Uruguay,3,3,0,1,2,1,6,−5,1
14,Australia,1,3,0,1,2,0,5,−5,1
15,Haiti,4,3,0,0,3,2,14,−12,0
16,Zaire,2,3,0,0,3,0,14,−14,0
