R,Team,G,P,W,D,L,GF,GA,GD,Pts.
1,England,1,6,5,1,0,11,3,+8,11
2,West Germany,2,6,4,1,1,15,6,+9,9
3,Portugal,3,6,5,0,1,17,8,+9,10
4,Soviet Union,4,6,4,0,2,10,6,+4,8
5,Argentina,2,4,2,1,1,4,2,+2,5
6,Hungary,3,4,2,0,2,8,7,+1,4
7,Uruguay,1,4,1,2,1,2,5,−3,4
8,North Korea,4,4,1,1,2,5,9,−4,3
9,Italy,4,3,1,0,2,2,2,0,2
10,Spain,2,3,1,0,2,4,5,−1,2
11,Brazil,3,3,1,0,2,4,6,−2,2
12,Mexico,1,3,0,2,1,1,3,−2,2
13,Chile,4,3,0,1,2,2,5,−3,1
13,France,1,3,0,1,2,2,5,−3,1
15,Bulgaria,3,3,0,0,3,1,8,−7,0
16,Switzerland,2,3,0,0,3,1,9,−8,0
