R,Team,G,P,W,D,L,GF,GA,GD,Pts.
1,France,C,7,6,1,0,15,2,+13,19
2,Brazil,A,7,4,1,2,14,10,+4,13
3,Croatia,H,7,5,0,2,11,5,+6,15
4,Netherlands,E,7,3,3,1,13,7,+6,12
5,Italy,B,5,3,2,0,8,3,+5,11
6,Argentina,H,5,3,1,1,10,4,+6,10
7,Germany,F,5,3,1,1,8,6,+2,10
8,Denmark,C,5,2,1,2,9,7,+2,7
9,England,G,4,2,1,1,7,4,+3,7
10,FR Yugoslavia,F,4,2,1,1,5,4,+1,7
11,Romania,G,4,2,1,1,4,3,+1,7
12,Nigeria,D,4,2,0,2,6,9,−3,6
13,Mexico,E,4,1,2,1,8,7,+1,5
14,Paraguay,D,4,1,2,1,3,2,+1,5
15,Norway,A,4,1,2,1,5,5,0,5
16,Chile,B,4,0,3,1,5,8,−3,3
17,Spain,D,3,1,1,1,8,4,+4,4
18,Morocco,A,3,1,1,1,5,5,0,4
19,Belgium,E,3,0,3,0,3,3,0,3
20,Iran,F,3,1,0,2,2,4,−2,3
21,Colombia,G,3,1,0,2,1,3,−2,3
22,Jamaica,H,3,1,0,2,3,9,−6,3
23,Austria,B,3,0,2,1,3,4,−1,2
24,South Africa,C,3,0,2,1,3,6,−3,2
25,Cameroon,B,3,0,2,1,2,5,−3,2
26,Tunisia,G,3,0,1,2,1,4,−3,1
27,Scotland,A,3,0,1,2,2,6,−4,1
28,Saudi Arabia,C,3,0,1,2,2,7,−5,1
29,Bulgaria,D,3,0,1,2,1,7,−6,1
30,South Korea,E,3,0,1,2,2,9,−7,1
31,Japan,H,3,0,0,3,1,4,−3,0
32,United States,F,3,0,0,3,1,5,−4,0
