R,Team,G,P,W,D,L,GF,GA,GD,Pts.
1,Brazil,B,7,5,2,0,11,3,+8,17
2,Italy,E,7,4,2,1,8,5,+3,14
3,Sweden,B,7,3,3,1,15,8,+7,12
4,Bulgaria,D,7,3,1,3,10,11,−1,10
5,Germany,C,5,3,1,1,9,7,+2,10
6,Romania,A,5,3,1,1,10,9,+1,10
7,Netherlands,F,5,3,0,2,8,6,+2,9
8,Spain,C,5,2,2,1,10,6,+4,8
9,Nigeria,D,4,2,0,2,7,4,+3,6
10,Argentina,D,4,2,0,2,8,6,+2,6
11,Belgium,F,4,2,0,2,4,4,0,6
12,Saudi Arabia,F,4,2,0,2,5,6,−1,6
13,Mexico,E,4,1,2,1,4,4,0,5
14,United States,A,4,1,1,2,3,4,−1,4
15,Switzerland,A,4,1,1,2,5,7,−2,4
16,Republic of Ireland,E,4,1,1,2,2,4,−2,4
17,Norway,E,3,1,1,1,1,1,0,4
18,Russia,B,3,1,0,2,7,6,+1,3
19,Colombia,A,3,1,0,2,4,5,−1,3
20,South Korea,C,3,0,2,1,4,5,−1,2
21,Bolivia,C,3,0,1,2,1,4,−3,1
22,Cameroon,B,3,0,1,2,3,11,−8,1
23,Morocco,F,3,0,0,3,2,5,−3,0
24,Greece,D,3,0,0,3,0,10,−10,0
