R,Team,G,P,W,D,L,GF,GA,GD,Pts.
1,Brazil,3,6,6,0,0,19,7,+12,12
2,Italy,2,6,3,2,1,10,8,+2,8
3,West Germany,4,6,5,0,1,17,10,+7,10
4,Uruguay,2,6,2,1,3,4,5,−1,5
5,Soviet Union,1,4,2,1,1,6,2,+4,5
6,Mexico,1,4,2,1,1,6,4,+2,5
7,Peru,4,4,2,0,2,9,9,0,4
8,England,3,4,2,0,2,4,4,0,4
9,Sweden,2,3,1,1,1,2,2,0,3
10,Belgium,1,3,1,0,2,4,5,−1,2
10,Romania,3,3,1,0,2,4,5,−1,2
12,Israel*,2,3,0,2,1,1,3,−2,2
13,Bulgaria**,4,3,0,1,2,5,9,−4,1
14,Morocco,4,3,0,1,2,2,6,−4,1
15,Czechoslovakia,3,3,0,0,3,2,7,−5,0
16,El Salvador,1,3,0,0,3,0,9,−9,0
